College Name,State,District/City,Departments,Department Count
"Aravind Gavali College of Pharmacy,Sv.No.261, At –Jaitapur Post-Chinchner Vandan-415 004.Tal-Satara,Dist. Satara",Maharashtra,Satara,Pharmacy,1
"ARCHITECTURE College of Architecture Shivaji Peth, KOLHAPUR-416 012",Maharashtra,Kolhapur,Architecture,1
ARHAM FOUNDATION Arham International Institute of Information Security,Maharashtra,Pune,BSc,1
"ARIHANT EDUCATION FOUNDATION ARIHANT COLLEGE OF ARTS, COMMERCE AND SCIENCE",Maharashtra,Pune,BSc; MCA,2
"Art, Commerce & Sci.College, Ankushnagar Tq. Ambad Dist. Jalna",Maharashtra,Jalna,Commerce,1
"Arts & Comm. College, NAGTHANE Tal: Satara, Dist: Satara",Maharashtra,Satara,Arts,1
"Arts & Commerce College, KASEGAON-415 404 Tal-Walwa , Dist-Sangli",Maharashtra,Sangli,Arts; Commerce,2
"Arts & Commerce College, Koyananagar, Tal-Patan, Dist-Satara.",Maharashtra,Satara,Arts; Commerce,2
"Arts & Commerce college, Motala",Maharashtra,Buldhana,Arts; Commerce,2
"Arts & Commerce Mv., Bori Arab",Maharashtra,Yavatmal,Arts; Commerce,2
"Arts & Science College, ATPADI - 415 301 Tal: Atpadi ,Dist:Sangli",Maharashtra,Sangli,Arts; Science,2
"Arts & Science College, Kurha",Maharashtra,Amravati,Arts; Science,2
"Arts and Commerce College, 117/A/1/2/3, Shukrawar Peth, SATARA-415 002",Maharashtra,Satara,Arts; Commerce,2
"Arts and Commerce College, ASHTA-416 301 Tal- Walwa Dist- Sangli",Maharashtra,Sangli,Arts; Commerce,2
"Arts and Commerce College, KADEPUR-415 305 Tal- Kadegaon Dist-Sangli",Maharashtra,Sangli,Arts; Commerce,2
"Arts and Commerce College, MAYANI-415 102 Tal-Khatav, Dist-Satara",Maharashtra,Satara,Arts; Commerce,2
"Arts and Commerce College, UNDALE – 415 118. Tal – Karad, Dist.-Satara",Maharashtra,Satara,Arts; Commerce,2
Arts And Science College,Maharashtra,,Arts; Science,2
"Arts And Science College, Shivajinagar, Gadhi, Beed.",Maharashtra,Beed,Arts; Science,2
"Arts And Science College,Chikalthana",Maharashtra,Aurangabad,Arts; Science,2
"Arts Commerce & Science College, Place- Valsavangi, Taluka - Bhokardan",Maharashtra,Jalna,Arts; Commerce; Science,3
"Arts Commerce & ScienceCollege, Osmanabad, Place- Osmanabad, Taluka -Osmanabad",Maharashtra,Osmanabad,Arts; Commerce,2
"Arts Commerce Science College, Gangakhed Tq. Gangakhed Dist. Parbhani",Maharashtra,Parbhani,Arts; Commerce; Science,3
"Arts Science & Commerce Rsidencial College, Place- Soygaon City, Taluka - Soygaon",Maharashtra,Aurangabad,Arts; Commerce; Science,3
"Arts, Com.& Science Mv. Bhatkuli",Maharashtra,Amravati,Arts; Science,2
"Arts, Comm. & Science College UMADI – 416 413 Tal- Jath, Dist-Sangli",Maharashtra,Sangli,Arts; Science,2
"Arts, Comm. & Science College, Kiran Nagar, Amravati.",Maharashtra,Amravati,Arts; Science,2
"Arts, Comm. & Science College, VATHAR-STATION Tal: Karegaon, Dist: Satara",Maharashtra,Satara,Arts; Science,2
"Arts, Comm. & Science Mahila Mahavidyalaya, Vishnu Galli, Vidyaniketan, premises TASGAON- 416 312 Tal: Tasgaon Dist:Sangli",Maharashtra,Sangli,Arts; Science,2
